Sorszám;Pénznem;Árfolyam;Ügyfél kód;Ügyfél Név;Irányítószám;Város;Utca;Adószám;Fizetési mód;Kelt;Teljesítés;Esedékesség;Terméknév;Mennyiség;Mennyiségi egység;Egységár;Megjegyzés;Áfa kulcs;Munkaszám;Részlegszám;Számla megjegyzés;TERMEKKOD;Bizonylatszám;Elszámoló időszak  záró dátuma;Áfa árfolyam;Termék megjelenített név;Kedvezmény;Ország;Közterület;Ajtó;Épület;Emelet;Lépcsőház;Házszám;Magánszemély;Magyar illetőség;Adóalanynak nem minősülő gazdasági szervezet;Köz. kívüli adósz.;EU adószám 
3;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.03;2026.07.03;;LENGÉSCSILLAPÍTÓ;1;db;13650;;27%;;;;MGA-6209;MPX/2026/07/003;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
4;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.04;2026.07.04;;VÁKUUMSZIVATTYÚ,;1;db;28550;;27%;;;;FÉKRENDSZER44-0039;MPX/2026/07/004;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
4;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.04;2026.07.04;;ZÁRHENGER, AJTÓZÁR;2;db;34520;;27%;;;;0913653DE-30;MPX/2026/07/004;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
4;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.04;2026.07.04;;HENGERFEJ;1;db;24760;;27%;;;;CH17-1051;MPX/2026/07/004;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
5;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.05;2026.07.05;;VEZETŐKAR FEJ;1;db;15060;;27%;;;;840087910;MPX/2026/07/005;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
5;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.05;2026.07.05;;CSAPÁGY, CSUKLÓS TENGELY;2;db;12350;;27%;;;;TED23444;MPX/2026/07/005;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
5;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.05;2026.07.05;;HAJTÓTENGELY;2;db;2140;;27%;;;;6144980036;MPX/2026/07/005;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
5;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.05;2026.07.05;;TÁMASZTÓ-/VEZETŐCSUKLÓ;1;db;29960;;27%;;;;FE23246;MPX/2026/07/005;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
6;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.06;2026.07.06;;HOSSZBORDÁS SZÍJ;3;db;14770;;27%;;;;3PK762ELAST;MPX/2026/07/006;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
6;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.06;2026.07.06;;USZCZELKA FIAT MISKI OL. 0,9;2;db;10350;;27%;;;;CC/SC71-31752-00;MPX/2026/07/006;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
6;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.06;2026.07.06;;FEKBETET OPEL P. ASTRA G 98-;1;db;12230;;27%;;;;19-0664;MPX/2026/07/006;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
6;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.06;2026.07.06;;ADÓHENGER, KUPLUNG 6284 600;1;db;33550;;27%;;;;872;MPX/2026/07/006;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
6;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.06;2026.07.06;;FEKBETET VW P. T2 79-86;1;db;36800;;27%;;;;GDB407;MPX/2026/07/006;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
7;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.07;2026.07.07;;HOSSZBORDÁS SZÍJ;1;db;17200;;27%;;;;GAT5PK1113;MPX/2026/07/007;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
7;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.07;2026.07.07;;FÉKNYEREG;1;db;9070;;27%;;;;82-0887;MPX/2026/07/007;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
7;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.07;2026.07.07;;SZÍVÓSZELEP;1;db;39400;;27%;;;;R6237/S;MPX/2026/07/007;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
8;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.08;2026.07.08;;FEKBETET SUZUKI P. SWIFT 96-;1;db;3480;;27%;;;;19-1149;MPX/2026/07/008;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
8;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.08;2026.07.08;;KÖZPONTI KINYOMÓ, KUPLUNG;2;db;38300;;27%;;;;CSC1083531;MPX/2026/07/008;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
8;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.08;2026.07.08;;TÖRLŐRUDAZAT;1;db;30300;;27%;;;;57-0275;MPX/2026/07/008;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
8;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.08;2026.07.08;;SZŐNYEGKÉSZLET;1;db;6960;;27%;;;;FRO0437;MPX/2026/07/008;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
9;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.09;2026.07.09;;FÉKTÁRCSA;1;db;6110;;27%;;;;19-4732;MPX/2026/07/009;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
9;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.09;2026.07.09;;FEKBETET SUZUKI P. LIANA 01-;1;db;2810;;27%;;;;19-1518;MPX/2026/07/009;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
9;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.09;2026.07.09;;CSAPÁGY, TENGELYTEST;1;db;29560;;27%;;;;TED49535;MPX/2026/07/009;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
9;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.09;2026.07.09;;LENGÉSCSILLAPÍTÓ;1;db;10550;;27%;;;;MGA-6410;MPX/2026/07/009;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
9;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.09;2026.07.09;;KUPLUNGKÉSZLET;1;db;12500;;27%;;;;ADW193018;MPX/2026/07/009;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
10;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.10;2026.07.10;;TARTÓ, FÉKCSŐ;2;db;17610;;27%;;;;FE19520;MPX/2026/07/010;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
10;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.10;2026.07.10;;ZÁRHENGER, AJTÓZÁR;1;db;34520;;27%;;;;0913653DE-30;MPX/2026/07/010;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
10;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.10;2026.07.10;;TÖMÍTÉS, KIPUFOGÓKÖNYÖK;3;db;18920;;27%;;;;412-514;MPX/2026/07/010;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
11;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.11;2026.07.11;;JAVÍTÓKÉSZLET, FÉKNYEREG;1;db;12180;;27%;;;;27-0745;MPX/2026/07/011;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
11;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.11;2026.07.11;;SZERELŐKÉSZLET, VEZETŐKAR;1;db;21470;;27%;;;;KIT02;MPX/2026/07/011;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
11;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.11;2026.07.11;;MOTORTERNYITO BOWDEN DB;1;db;27540;;27%;;;;W21032-0774;MPX/2026/07/011;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
11;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.11;2026.07.11;;PASEK WIELOKLINOWY 5PK1545;2;db;15310;;27%;;;;5PK1545DAY;MPX/2026/07/011;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
12;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.12;2026.07.12;;LENGÉSCSILLAPÍTÓ;1;db;25560;;27%;;;;MGA-6206;MPX/2026/07/012;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
12;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.12;2026.07.12;;MOSÓFÚVÓKA, SZÉLVÉDŐMOSÓ;1;db;11510;;27%;;;;27-0637;MPX/2026/07/012;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
12;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.12;2026.07.12;;FÉK-/KUPLUNG TISZTÍTÓ;2;db;3740;;27%;;;;96000200;MPX/2026/07/012;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
12;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.12;2026.07.12;;TÖRLŐLAPÁT;2;db;18550;;27%;;;;VAL575003;MPX/2026/07/012;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
12;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.12;2026.07.12;;ONINDITO;2;db;38500;;27%;;;;S4017;MPX/2026/07/012;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
13;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.13;2026.07.13;;HAJTÓTENGELY;1;db;28260;;27%;;;;27-0235MG;MPX/2026/07/013;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
13;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.13;2026.07.13;;GYUJTOGYERTYA BPR8HS;1;db;41060;;27%;;;;BPR8HS;MPX/2026/07/013;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
13;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.13;2026.07.13;;FÉKMUNKAHENGER;1;db;22640;;27%;;;;ADG04487;MPX/2026/07/013;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
14;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.14;2026.07.14;;TÖRLŐLAPÁT;3;db;3200;;27%;;;;VAL574584;MPX/2026/07/014;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
14;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.14;2026.07.14;;CSAPÁGYAZÁS, KORMÁNY;1;db;2150;;27%;;;;LMI42996;MPX/2026/07/014;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
14;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.14;2026.07.14;;ÜTKÖZŐ, RUGÓZÁS;1;db;21760;;27%;;;;72-3686;MPX/2026/07/014;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
14;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.14;2026.07.14;;CSŐKAPCSOLÓ, ÜZEMANYAG-VEZETÉK;1;db;1970;;27%;;;;DRM0165Q;MPX/2026/07/014;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
15;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.15;2026.07.15;;FEKBETET DB P. SPRINTER 06-;2;db;24100;;27%;;;;GDB1698;MPX/2026/07/015;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
15;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.15;2026.07.15;;MOSÓFÚVÓKA, SZÉLVÉDŐMOSÓ;1;db;11510;;27%;;;;27-0637;MPX/2026/07/015;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
15;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.15;2026.07.15;;TÖRLŐLAPÁT;1;db;18550;;27%;;;;VAL575003;MPX/2026/07/015;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
15;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.15;2026.07.15;;KERÉKCSAVAR;2;db;23750;;27%;;;;FE100164;MPX/2026/07/015;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
15;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.15;2026.07.15;;RUGÓ, HANGTOMPÍTÓ;2;db;23660;;27%;;;;795-902;MPX/2026/07/015;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
16;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.16;2026.07.16;;FILTR VW OLEJU DIESEL;1;db;16000;;27%;;;;W940/25;MPX/2026/07/016;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
16;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.16;2026.07.16;;ÜTKÖZŐ, RUGÓZÁS;2;db;21760;;27%;;;;72-3686;MPX/2026/07/016;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
16;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.16;2026.07.16;;OLAJSZŰRŐ;1;db;5880;;27%;;;;W6031;MPX/2026/07/016;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
17;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.17;2026.07.17;;OLAJSZŰRŐ;2;db;5880;;27%;;;;W6031;MPX/2026/07/017;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
17;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.17;2026.07.17;;TÖRLŐRUDAZAT;1;db;30300;;27%;;;;57-0275;MPX/2026/07/017;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
17;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.17;2026.07.17;;FEKBETET SUZUKI P. SWIFT 96-;1;db;3480;;27%;;;;19-1149;MPX/2026/07/017;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
17;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.17;2026.07.17;;SZŐNYEGKÉSZLET;3;db;19860;;27%;;;;FRO546313;MPX/2026/07/017;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
18;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.18;2026.07.18;;LENGŐKAR, KERÉKFELFÜGGESZTÉS;1;db;28720;;27%;;;;MGZ-116015;MPX/2026/07/018;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
18;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.18;2026.07.18;;LÁNCSPRAY C4 CHAIN LUBE;1;db;1630;;27%;;;;400ML;MPX/2026/07/018;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
18;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.18;2026.07.18;;RUGÓ, HANGTOMPÍTÓ;2;db;23660;;27%;;;;795-902;MPX/2026/07/018;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
18;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.18;2026.07.18;;HOSSZBORDÁS SZÍJ;2;db;14770;;27%;;;;3PK762ELAST;MPX/2026/07/018;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
18;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.18;2026.07.18;;FÉKRÁSEGÍTŐ;1;db;25620;;27%;;;;B15998;MPX/2026/07/018;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
19;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.19;2026.07.19;;TARTÓ, SZÉNKEFE;1;db;31650;;27%;;;;SBH0042A;MPX/2026/07/019;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
19;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.19;2026.07.19;;CSUKLÓ, HOSSZANTI TENGELY;1;db;25560;;27%;;;;FE43477;MPX/2026/07/019;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
19;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.19;2026.07.19;;ZESTAW VOLVO ROZRZĄDU;2;db;2680;;27%;;;;2,0-2,3CT643K1;MPX/2026/07/019;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
20;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.20;2026.07.20;;ŁĄCZNIK TOYOTA STAB. P. YARIS;1;db;24270;;27%;;;;05-MGZ-216014;MPX/2026/07/020;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
20;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.20;2026.07.20;;LENGOKAR OPEL P. ASTRA H LE;1;db;16700;;27%;;;;04-MGZ-107019;MPX/2026/07/020;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
20;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.20;2026.07.20;;RENAULT;1;db;6700;;27%;;;;534026910;MPX/2026/07/020;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
20;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.20;2026.07.20;;FEKBETET SUZUKI P. LIANA 01-;1;db;2810;;27%;;;;19-1518;MPX/2026/07/020;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
21;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.21;2026.07.21;;MOTOR SZILENTBLOK FIAT PUNTO;3;db;11700;;27%;;;;40-0322;MPX/2026/07/021;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
21;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.21;2026.07.21;;LÁNCSPRAY C4 CHAIN LUBE;2;db;1630;;27%;;;;400ML;MPX/2026/07/021;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
21;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.21;2026.07.21;;TÖRLŐMOTOR;2;db;21940;;27%;;;;57-0248;MPX/2026/07/021;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
21;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.21;2026.07.21;;HAJTÓTENGELY;2;db;28260;;27%;;;;27-0235MG;MPX/2026/07/021;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
21;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.21;2026.07.21;;ZÁRÓTÜSKE, AJTÓZÁR;2;db;33230;;27%;;;;28-1007;MPX/2026/07/021;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
22;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.22;2026.07.22;;VEZETŐKAR FEJ;2;db;3940;;27%;;;;840088010;MPX/2026/07/022;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
22;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.22;2026.07.22;;HENGERFEJ CSAVAR LANCIA KAPPA;2;db;31930;;27%;;;;96-JU81007500;MPX/2026/07/022;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
